Supplier Name,Tariff Name,Fix Length,Electricity Standing Charge,Electricity Price Per kWh,Gas Standing Charge,Gas Price per kWh
British Gas,Fixed Tariff,12,48.565,25.232,28.547,5.938
British Gas,Cap Tracker,15,42,26.551,23.074,6.305
Co-op Energy,12m Fixed,12,47.89,26.61,28.97,5.94
EDF Energy,Simply Fixed ,12,41.993,26.415,23.066,5.902
EDF Energy,Simply Tracker,0,41.993,26.651,23.066,6.305
Eon Next,Next Fixed 12M,12,48.849,24.938,29.923,6.24
Eon Next,Next Free Boiler Cover 14m,14,48.85,24.157,29.92,6.413
Fuse Energy,Fixed 15m,15,42.303,23.32,22.161,5.92
Fuse Energy,Fixed 12m,12,43.403,23.47,21.88,6.03
Octopus Energy,12m Fixed,12,47.89,26.61,28.97,5.94
Octopus Energy,Flexible Octopus,0,47.89,26.652,28.97,6.305
OVO Energy,Online Exclusive,12,55.219,24.507,30.177,5.723
OVO Energy,2 Year Fixed,24,60.144,25.442,31.657,6.016
Sainsbury's Energy,Fix and Reward Fixed 24m,24,48.85,25.011,29.92,6.497
Scottish Power,Standard Online,0,48.85,26.651,29.91,6.305
So Energy,Eucalyptus One Year Green,12,52.172,24.632,29.477,5.674
